rollout/ep_rew_mean,train/explained_variance,train/n_updates,rollout/ep_len_mean,train/policy_loss,time/fps,time/time_elapsed,time/total_timesteps,train/entropy_loss,time/iterations,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
120.34,0.8844340071082115,36699,1503.18,-0.007898116484284401,446,6569,2936000,-0.05414130166172981,36700,0.0007,2.394338369369507,,
120.38,0.9731690231710672,36799,1457.66,-0.0075515503995120525,446,6587,2944000,-0.05548041686415672,36800,0.0007,0.7274972200393677,,
122.54,0.9627064689993858,36899,1461.33,0.005017086397856474,446,6604,2952000,-0.07627307623624802,36900,0.0007,0.3005000948905945,,
117.65,0.9677560739219189,36999,1472.43,-0.047220658510923386,447,6621,2960000,-0.07017030566930771,37000,0.0007,0.8762639164924622,,
120.59,0.9917793041095138,37099,1484.08,0.0023923960980027914,447,6638,2968000,-0.02111104689538479,37100,0.0007,0.2682980000972748,,
117.66,0.9468950293958187,37199,1487.0,-0.0003826431930065155,447,6655,2976000,-0.05409612879157066,37200,0.0007,1.1063554286956787,,
113.92,0.9518599845468998,37299,1504.46,-0.008033390156924725,447,6672,2984000,-0.046217869967222214,37300,0.0007,0.6457783579826355,,
114.96,0.7432307600975037,37399,1532.06,0.012670017778873444,447,6689,2992000,-0.07917560636997223,37400,0.0007,2.9830920696258545,,
115.91,0.9823967758566141,37499,1511.33,-0.027708271518349648,447,6707,3000000,-0.11749827116727829,37500,0.0007,0.37045881152153015,,
116.43,0.884335108101368,37599,1518.35,-0.03367915749549866,447,6723,3008000,-0.04131395369768143,37600,0.0007,1.5724637508392334,,
117.48,0.974252125248313,37699,1531.17,-0.0021422896534204483,447,6741,3016000,-0.023380041122436523,37700,0.0007,0.4360371530056,,
122.91,0.47189974784851074,37799,1507.38,-0.02945801615715027,447,6758,3024000,-0.08883070945739746,37800,0.0007,12.450326919555664,,
127.96,0.9813954215496778,37899,1489.83,0.007451959885656834,447,6775,3032000,-0.08143685758113861,37900,0.0007,0.4328303933143616,,
,0.9502736739814281,37999,,-0.011688899248838425,,,3040000,-0.10435058176517487,,0.0007,0.775442898273468,102.2,1285.4
124.95,,,1428.0,,446,6804,3040000,,38000,,,,
123.7,0.9808376282453537,38099,1388.4,-0.0898333340883255,446,6821,3048000,-0.046733684837818146,38100,0.0007,0.31130242347717285,,
121.66,0.9356856942176819,38199,1408.06,-0.011215067468583584,446,6838,3056000,-0.06635820865631104,38200,0.0007,1.4370229244232178,,
121.22,0.9561819732189178,38299,1459.87,0.0021175562869757414,446,6855,3064000,-0.06245245411992073,38300,0.0007,1.4060968160629272,,
120.76,0.9624866731464863,38399,1491.17,-0.018220869824290276,447,6872,3072000,-0.05626506730914116,38400,0.0007,0.56718909740448,,
123.61,0.9660672321915627,38499,1523.02,-0.026409422978758812,447,6889,3080000,-0.07897014915943146,38500,0.0007,0.8490497469902039,,
126.76,0.9378664940595627,38599,1592.03,0.012423772364854813,447,6906,3088000,-0.02820448949933052,38600,0.0007,1.561287760734558,,
128.35,0.9568723291158676,38699,1584.28,-0.135646790266037,447,6924,3096000,-0.10805916041135788,38700,0.0007,1.1344002485275269,,
130.95,0.8647942095994949,38799,1545.96,0.011212526820600033,447,6942,3104000,-0.11534459888935089,38800,0.0007,1.0870174169540405,,
127.96,0.9815654326230288,38899,1418.59,0.000564263784326613,447,6959,3112000,-0.059520214796066284,38900,0.0007,0.25977563858032227,,
127.61,0.8999304175376892,38999,1328.26,-0.04597454518079758,447,6976,3120000,-0.07841998338699341,39000,0.0007,1.4395679235458374,,
131.81,0.9639464430510998,39099,1290.93,-0.005743756424635649,447,6993,3128000,-0.04256785660982132,39100,0.0007,0.4354107081890106,,
132.13,0.9897449407726526,39199,1349.49,0.0006585102528333664,447,7010,3136000,-0.03223127871751785,39200,0.0007,0.18455038964748383,,
131.47,0.96806500852108,39299,1430.35,0.035951729863882065,447,7028,3144000,-0.13877131044864655,39300,0.0007,0.9576062560081482,,
134.64,0.9713470321148634,39399,1506.25,0.0019749964121729136,447,7046,3152000,-0.06031249091029167,39400,0.0007,1.0865923166275024,,
137.36,0.931187778711319,39499,1519.5,0.00418432429432869,447,7064,3160000,-0.05697859078645706,39500,0.0007,1.1231474876403809,,
134.79,0.9848964335396886,39599,1450.99,-0.011807575821876526,447,7081,3168000,-0.0964086651802063,39600,0.0007,0.3982425630092621,,
137.39,0.9110022038221359,39699,1375.83,-0.4165969491004944,447,7098,3176000,-0.0581112876534462,39700,0.0007,2.013831853866577,,
134.25,0.8776724487543106,39799,1338.83,0.0013266444439068437,447,7115,3184000,-0.033280886709690094,39800,0.0007,1.3730825185775757,,
134.22,0.6348680853843689,39899,1389.48,-0.0028640569653362036,447,7132,3192000,-0.09912379831075668,39900,0.0007,9.344130516052246,,
,0.9514470100402832,39999,,0.0008313357830047607,,,3200000,-0.07590343803167343,,0.0007,0.42611241340637207,142.6,1896.2
132.91,,,1343.48,,446,7160,3200000,,40000,,,,
133.71,0.6432296633720398,40099,1417.21,-0.04083896055817604,447,7176,3208000,-0.07582496851682663,40100,0.0007,8.825929641723633,,
131.69,0.939999770373106,40199,1428.82,-0.07312040776014328,447,7193,3216000,-0.09157676994800568,40200,0.0007,1.1959530115127563,,
131.75,0.8827379867434502,40299,1421.85,-0.45931276679039,447,7210,3224000,-0.09004088491201401,40300,0.0007,3.9054934978485107,,
130.61,0.9556245543062687,40399,1446.73,0.003883764846250415,447,7227,3232000,-0.0704653412103653,40400,0.0007,0.40989503264427185,,
130.24,0.9278263673186302,40499,1388.32,0.009854651987552643,447,7245,3240000,-0.03532223775982857,40500,0.0007,1.7992089986801147,,
