time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
3880000,48500,873,4442,-0.03136409446597099,69.61,0.0007,48499,0.31929776072502136,640.99,0.928914986550808,-0.40209898352622986,,
3888000,48600,873,4451,-0.07065098732709885,69.17,0.0007,48599,0.4947548806667328,622.11,0.610570639371872,-0.5225229263305664,,
3896000,48700,873,4460,-0.16662470996379852,66.82,0.0007,48699,0.3364981710910797,608.88,0.9140712693333626,-0.38178199529647827,,
3904000,48800,873,4469,-0.06856973469257355,67.5,0.0007,48799,0.6971191763877869,598.53,0.8399031907320023,-0.45366451144218445,,
3912000,48900,873,4478,0.03133826330304146,67.86,0.0007,48899,0.03956283628940582,573.54,0.9720605667680502,-0.4650213420391083,,
3920000,49000,873,4487,-0.04545160010457039,67.03,0.0007,48999,0.4245529770851135,567.33,0.8908607438206673,-0.1454729586839676,,
3928000,49100,873,4495,0.010698218829929829,66.85,0.0007,49099,0.03391009196639061,564.85,0.9861188074573874,-0.23619547486305237,,
3936000,49200,873,4504,-0.02561519481241703,68.76,0.0007,49199,0.07369887828826904,584.42,0.9792839176952839,-0.40598899126052856,,
3944000,49300,873,4513,-0.06026573106646538,68.29,0.0007,49299,0.1602533906698227,592.14,0.9668592438101768,-0.3110664188861847,,
3952000,49400,874,4521,0.10439205169677734,69.26,0.0007,49399,0.19461356103420258,624.44,0.9096086472272873,-0.09255733340978622,,
3960000,49500,874,4530,-0.13423411548137665,70.74,0.0007,49499,0.3851291537284851,642.53,0.8316393494606018,-0.3271300196647644,,
3968000,49600,874,4538,0.04363785311579704,72.06,0.0007,49599,0.1448005884885788,656.29,0.9455421455204487,-0.5839815139770508,,
3976000,49700,874,4547,0.07609125226736069,72.83,0.0007,49699,0.6697787046432495,670.09,0.867209181189537,-0.3947254419326782,,
3984000,49800,874,4555,-0.007078663446009159,72.6,0.0007,49799,0.4741412103176117,690.26,0.8279693722724915,-0.2836568057537079,,
3992000,49900,874,4564,-0.11312194913625717,73.64,0.0007,49899,1.1150823831558228,693.58,0.7144454121589661,-0.15085873007774353,,
4000000,,,,0.036625541746616364,,0.0007,49999,0.140367329120636,,0.949212659150362,-0.45308905839920044,71.8,927.6
4000000,50000,872,4584,,74.17,,,,701.92,,,,
4008000,50100,872,4594,0.02773737907409668,75.57,0.0007,50099,0.1286696046590805,708.29,0.9713902994990349,-0.28692492842674255,,
4016000,50200,872,4603,0.005275468807667494,75.14,0.0007,50199,0.11403673142194748,701.61,0.972424790263176,-0.3071770966053009,,
4024000,50300,872,4611,0.00264372187666595,75.25,0.0007,50299,0.4161264896392822,679.32,0.9051180928945541,-0.44180306792259216,,
4032000,50400,872,4620,0.028331313282251358,75.89,0.0007,50399,0.0755385085940361,668.64,0.9762385077774525,-0.22445523738861084,,
4040000,50500,872,4628,-0.015955554321408272,75.34,0.0007,50499,0.11333435028791428,670.99,0.976036773994565,-0.4411502778530121,,
4048000,50600,872,4637,0.02134401723742485,75.48,0.0007,50599,0.05221499130129814,662.15,0.9907339373603463,-0.4132939875125885,,
4056000,50700,872,4646,0.02622053027153015,75.58,0.0007,50699,0.07300613075494766,642.5,0.9659952633082867,-0.2986684739589691,,
4064000,50800,872,4655,-0.01830918900668621,73.73,0.0007,50799,0.060348816215991974,633.85,0.987662754021585,-0.2680588364601135,,
4072000,50900,872,4665,0.020751340314745903,72.91,0.0007,50899,0.31528663635253906,621.21,0.9209341108798981,-0.43282419443130493,,
4080000,51000,872,4673,-0.06935139745473862,72.19,0.0007,50999,0.4031549394130707,628.57,0.9077063724398613,-0.3919164836406708,,
4088000,51100,872,4683,-0.0806206688284874,71.74,0.0007,51099,0.8490349054336548,635.67,0.8362069427967072,-0.5152760744094849,,
4096000,51200,873,4691,0.06529510021209717,70.83,0.0007,51199,0.07987525314092636,629.76,0.9735711105167866,-0.3299538493156433,,
4104000,51300,873,4700,-0.39956578612327576,70.01,0.0007,51299,0.8698599934577942,627.99,0.8084315061569214,-0.28913360834121704,,
4112000,51400,873,4709,0.02328496240079403,71.92,0.0007,51399,0.06724047660827637,639.67,0.9799426253885031,-0.22902527451515198,,
4120000,51500,873,4717,0.14114338159561157,72.04,0.0007,51499,0.7464278340339661,634.72,0.8465212881565094,-0.5535595417022705,,
4128000,51600,873,4725,-0.12496111541986465,74.12,0.0007,51599,2.1132609844207764,635.03,0.5227617919445038,-0.4281638264656067,,
4136000,51700,873,4734,0.03617338091135025,74.8,0.0007,51699,0.09989030659198761,628.52,0.9520757049322128,-0.254845529794693,,
4144000,51800,873,4743,0.012775030918419361,75.88,0.0007,51799,0.056330468505620956,633.71,0.9813502170145512,-0.14422093331813812,,
4152000,51900,873,4752,-0.11865127086639404,76.32,0.0007,51899,1.3550353050231934,626.39,0.7307476997375488,-0.27071163058280945,,
4160000,,,,-0.022105751559138298,,0.0007,51999,0.2589694857597351,,0.9343865439295769,-0.4826456606388092,88.0,1027.6
4160000,52000,870,4778,,77.98,,,,641.64,,,,
4168000,52100,870,4787,-0.014868549071252346,80.02,0.0007,52099,0.2655525207519531,694.91,0.9436538368463516,-0.24203653633594513,,
4176000,52200,870,4796,0.22603490948677063,79.66,0.0007,52199,0.7611317038536072,699.64,0.835257351398468,-0.21975384652614594,,
4184000,52300,870,4805,-0.056379284709692,78.47,0.0007,52299,0.804347038269043,696.46,0.8102988302707672,-0.3371821939945221,,
4192000,52400,870,4814,0.07533012330532074,77.71,0.0007,52399,0.23257890343666077,704.75,0.9610452987253666,-0.27786684036254883,,
4200000,52500,870,4822,-0.11328863352537155,76.67,0.0007,52499,0.14999543130397797,702.06,0.9694340452551842,-0.39928680658340454,,
4208000,52600,871,4831,0.05788085609674454,77.3,0.0007,52599,0.5330277681350708,715.83,0.9035017713904381,-0.7331189513206482,,
4216000,52700,871,4840,-0.010783366858959198,75.53,0.0007,52699,0.1445690244436264,709.78,0.9298238009214401,-0.2678172290325165,,
4224000,52800,871,4848,0.056088805198669434,76.03,0.0007,52799,1.4835867881774902,702.85,0.665399044752121,-0.24279184639453888,,
