time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
4585,0.05,1747564,39244,381,34.68,920.59,,,106097,0.0001,0.32297277450561523
4585,0.05,1747732,39248,381,34.63,921.28,,,106108,0.0001,0.030490826815366745
4586,0.05,1747960,39252,381,34.57,920.71,,,106122,0.0001,0.047448720782995224
4587,0.05,1748208,39256,381,34.57,920.71,,,106137,0.0001,0.1361064314842224
4587,0.05,1748456,39260,381,34.47,921.42,,,106153,0.0001,0.14057299494743347
4588,0.05,1748680,39264,381,34.53,925.24,,,106167,0.0001,0.11591720581054688
4588,0.05,1748844,39268,381,34.53,925.24,,,106177,0.0001,0.13243141770362854
4589,0.05,1749000,39272,381,34.57,923.07,,,106187,0.0001,0.09310684353113174
4589,0.05,1749200,39276,381,34.57,923.07,,,106199,0.0001,0.3445351719856262
4590,0.05,1749396,39280,381,34.52,918.95,,,106212,0.0001,0.23281140625476837
4590,0.05,1749684,39284,381,34.5,918.04,,,106230,0.0001,0.05916325002908707
4591,0.05,1750052,39288,381,34.55,916.23,,,106253,0.0001,0.11077582091093063
4592,0.05,1750220,39292,381,34.58,918.65,,,106263,0.0001,0.07293582707643509
4592,0.05,1750408,39296,381,34.58,918.65,,,106275,0.0001,0.07953295111656189
4593,0.05,1750656,39300,381,34.4,916.17,,,106290,0.0001,0.06927448511123657
4594,0.05,1750928,39304,381,34.41,918.86,,,106307,0.0001,0.05079338327050209
4594,0.05,1751116,39308,381,34.49,921.52,,,106319,0.0001,0.214767724275589
4595,0.05,1751316,39312,381,34.49,921.52,,,106332,0.0001,0.09529982507228851
4595,0.05,1751520,39316,381,34.51,925.5,,,106344,0.0001,0.46345821022987366
4596,0.05,1751800,39320,381,34.51,925.5,,,106362,0.0001,0.10187962651252747
4597,0.05,1752092,39324,381,34.51,925.29,,,106380,0.0001,0.038623590022325516
4597,0.05,1752304,39328,381,34.42,924.46,,,106393,0.0001,0.08326739072799683
4598,0.05,1752536,39332,381,34.46,927.88,,,106408,0.0001,0.11215254664421082
4598,0.05,1752840,39336,381,34.37,927.58,,,106427,0.0001,0.4645496606826782
4599,0.05,1753084,39340,381,34.37,927.58,,,106442,0.0001,0.024296171963214874
4600,0.05,1753316,39344,381,34.28,931.37,,,106457,0.0001,0.03929492458701134
4600,0.05,1753540,39348,381,34.23,935.62,,,106471,0.0001,0.04693647474050522
4601,0.05,1753864,39352,381,34.16,936.27,,,106491,0.0001,0.10786603391170502
4602,0.05,1754008,39356,381,34.16,936.27,,,106500,0.0001,0.022396309301257133
4602,0.05,1754332,39360,381,34.28,938.27,,,106520,0.0001,0.22506844997406006
4603,0.05,1754544,39364,381,34.24,937.47,,,106533,0.0001,0.02591998130083084
4603,0.05,1754720,39368,381,34.24,937.47,,,106544,0.0001,0.15730153024196625
4604,0.05,1754964,39372,381,34.35,944.04,,,106560,0.0001,0.05556511506438255
4605,0.05,1755196,39376,381,34.27,944.28,,,106574,0.0001,0.36660799384117126
4605,0.05,1755440,39380,381,34.33,942.23,,,106589,0.0001,0.2751888334751129
4606,0.05,1755640,39384,381,34.33,942.23,,,106602,0.0001,0.029777640476822853
4606,0.05,1755892,39388,381,34.35,938.9,,,106618,0.0001,0.06891244649887085
4607,0.05,1756168,39392,381,34.35,943.18,,,106635,0.0001,0.11240743845701218
4607,0.05,1756320,39396,381,34.35,943.18,,,106644,0.0001,0.32272884249687195
4608,0.05,1756468,39400,381,34.35,943.18,,,106654,0.0001,0.028738703578710556
4608,0.05,1756640,39404,381,34.41,939.37,,,106664,0.0001,0.0697396770119667
4609,0.05,1756900,39408,381,34.25,933.49,,,106681,0.0001,0.049742646515369415
4609,0.05,1757104,39412,381,34.25,933.49,,,106693,0.0001,0.045298464596271515
4610,0.05,1757268,39416,381,34.25,933.49,,,106704,0.0001,0.04713312163949013
4611,0.05,1757564,39420,381,34.22,935.86,,,106722,0.0001,0.24996191263198853
4611,0.05,1757876,39424,381,34.2,935.15,,,106742,0.0001,0.06405133008956909
4612,0.05,1758048,39428,381,34.16,940.02,,,106752,0.0001,0.03668093681335449
4612,0.05,1758216,39432,381,34.16,940.02,,,106763,0.0001,0.16557534039020538
4613,0.05,1758496,39436,381,34.13,941.51,,,106780,0.0001,0.06683289259672165
4614,0.05,1758796,39440,381,34.13,937.14,,,106799,0.0001,0.044301584362983704
4614,0.05,1759056,39444,381,34.13,937.14,,,106815,0.0001,0.1254025250673294
4615,0.05,1759296,39448,381,34.12,938.21,,,106830,0.0001,0.24154314398765564
4616,0.05,1759592,39452,381,34.12,938.21,,,106849,0.0001,0.09935008734464645
4616,0.05,1759864,39456,381,34.12,940.98,,,106866,0.0001,0.033730681985616684
,0.05,1760000,,,,,869.0,34.8,106874,0.0001,0.33254122734069824
4619,0.05,1760008,39460,380,34.07,942.44,,,106875,0.0001,0.07888541370630264
4620,0.05,1760304,39464,380,33.89,933.45,,,106893,0.0001,0.14967671036720276
4620,0.05,1760468,39468,380,33.94,935.73,,,106904,0.0001,0.14997731149196625
4621,0.05,1760596,39472,380,33.94,935.73,,,106912,0.0001,0.10916577279567719
4621,0.05,1760912,39476,380,33.82,932.79,,,106931,0.0001,0.02923848107457161
4622,0.05,1761120,39480,380,33.84,933.6,,,106944,0.0001,0.1281777024269104
4622,0.05,1761264,39484,380,33.82,932.49,,,106953,0.0001,0.12052042782306671
4623,0.05,1761404,39488,380,33.82,932.49,,,106962,0.0001,0.04039996117353439
4623,0.05,1761564,39492,380,33.82,932.49,,,106972,0.0001,0.05201322212815285
4624,0.05,1761808,39496,380,33.84,924.83,,,106987,0.0001,0.4822179675102234
4624,0.05,1762092,39500,380,33.79,923.38,,,107005,0.0001,0.3452986478805542
