train/explained_variance,train/n_updates,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_loss,train/value_loss,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.9274720847606659,17999,,1440000,,,0.15083687007427216,0.1376923769712448,0.0007,-1.622763991355896,,,834.2,1232.0
,,1526,1440000,18000,818.28,,,,,1148.0,943,,
0.9692746214568615,18099,1535,1448000,18100,826.36,-0.05392508581280708,0.040787145495414734,0.0007,-1.6226234436035156,1153.6,943,,
0.8771834224462509,18199,1543,1456000,18200,822.66,0.03987491503357887,0.2609321177005768,0.0007,-1.5549957752227783,1145.2,943,,
0.9515570141375065,18299,1552,1464000,18300,831.74,0.06041812524199486,0.1549927443265915,0.0007,-1.5675548315048218,1145.3,943,,
0.939730029553175,18399,1559,1472000,18400,837.9,0.01678497903048992,0.05285024270415306,0.0007,-1.622208833694458,1155.0,943,,
0.8164304494857788,18499,1568,1480000,18500,797.56,0.2391379326581955,0.15715594589710236,0.0007,-1.5498663187026978,1063.8,943,,
0.9208753332495689,18599,1576,1488000,18600,808.38,-0.004964315798133612,0.06990411132574081,0.0007,-1.6012474298477173,1068.6,943,,
0.824593797326088,18699,1584,1496000,18700,816.22,0.0754096657037735,0.1405571550130844,0.0007,-1.659593939781189,1080.4,944,,
0.8900284022092819,18799,1592,1504000,18800,785.34,0.040551070123910904,0.12561802566051483,0.0007,-1.6034504175186157,1017.0,944,,
0.9110357910394669,18899,1600,1512000,18900,754.18,-0.09854664653539658,0.10799651592969894,0.0007,-1.5744034051895142,971.7,944,,
0.9396609403192997,18999,1609,1520000,19000,769.06,0.15169166028499603,0.12017791718244553,0.0007,-1.6425422430038452,982.0,944,,
0.984938619658351,19099,1616,1528000,19100,764.42,-0.12935896217823029,0.029749562963843346,0.0007,-1.6214054822921753,969.0,944,,
0.9434356838464737,19199,1625,1536000,19200,753.02,0.06697111576795578,0.08061862736940384,0.0007,-1.621713638305664,960.9,945,,
0.9588487781584263,19299,1633,1544000,19300,741.96,0.06077532842755318,0.08515342324972153,0.0007,-1.618477463722229,942.2,945,,
0.9748359452933073,19399,1642,1552000,19400,761.26,-0.0026483468245714903,0.07021301239728928,0.0007,-1.5817136764526367,999.3,945,,
0.9837485011667013,19499,1648,1560000,19500,743.46,-0.11859915405511856,0.0209632720798254,0.0007,-1.5910876989364624,988.0,946,,
0.9529744684696198,19599,1656,1568000,19600,740.94,0.06892234086990356,0.07488186657428741,0.0007,-1.5760605335235596,978.0,946,,
