time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
4393,1256.79,136,1114112,253,100.69,0.6469427645206451,0.0003,-0.4511151615530252,-0.03387285956086998,0.1674783,0.2,0.34124755859375,0.6486964225769043,1.3963268455700018,1350,,
,,,1120000,,,0.6460202634334564,0.0003,-0.46747482956852765,-0.034146129503278645,0.17326674,0.2,0.35072021484375,0.5407853722572327,1.6262653418001718,1360,1624.4,162.8
4431,1278.17,137,1122304,253,107.74,,,,,,,,,,,,
4462,1297.99,138,1130496,253,110.06,0.6519911289215088,0.0003,-0.47104702293872835,-0.03497319595335284,0.17807508,0.2,0.352001953125,0.35103899240493774,1.5041796329896897,1370,,
4493,1307.26,139,1138688,253,105.53,0.6775522828102112,0.0003,-0.465586555772461,-0.03488764988578623,0.17311832,0.2,0.351171875,0.36911165714263916,1.5750300443964078,1380,,
4523,1323.71,140,1146880,253,104.89,0.6996950507164001,0.0003,-0.4634267825167626,-0.03804980451823212,0.1738017,0.2,0.35958251953125,0.15928229689598083,1.3651800554944202,1390,,
4554,1328.83,141,1155072,253,100.38,0.6926788687705994,0.0003,-0.47759022829122844,-0.03818004646163899,0.17874336,0.2,0.3654052734375,0.5502579808235168,1.102899385371711,1400,,
,,,1160000,,,0.7187275886535645,0.0003,-0.481516986223869,-0.04119095987334731,0.19838852,0.2,0.36561279296875,0.12614920735359192,1.0816562490595971,1410,1552.0,92.8
4591,1347.91,142,1163264,253,103.37,,,,,,,,,,,,
4622,1421.93,143,1171456,253,105.05,0.6796718239784241,0.0003,-0.46840106442105023,-0.036655051155685216,0.18756184,0.2,0.35767822265625,0.06258657574653625,1.1544099371181802,1420,,
4652,1453.28,144,1179648,253,108.2,0.6409494876861572,0.0003,-0.4641802854137495,-0.03364553459905437,0.18135568,0.2,0.35587158203125,0.3138156533241272,1.468965964252129,1430,,
4682,1476.28,145,1187840,253,112.61,0.7097850143909454,0.0003,-0.47627081975806507,-0.03767090026885853,0.19535413,0.2,0.36978759765625,-0.001727275550365448,1.0576068168855273,1440,,
4712,1457.89,146,1196032,253,118.43,0.7601969093084335,0.0003,-0.4496997556416318,-0.03749663970811525,0.18985835,0.2,0.35216064453125,0.06425409018993378,0.945407872449141,1450,,
,,,1200000,,,0.7486678063869476,0.0003,-0.4318404152523726,-0.03705264028176316,0.16815609,0.2,0.3291015625,0.06733687222003937,1.125440212234389,1460,1348.4,144.6
4747,1422.1,147,1204224,253,121.88,,,,,,,,,,,,
4778,1378.53,148,1212416,253,122.92,0.7415884733200073,0.0003,-0.4526216447819024,-0.03599075136553438,0.17385554,0.2,0.34464111328125,0.3006463050842285,1.2978713374468498,1470,,
4810,1353.4,149,1220608,253,123.29,0.7372964024543762,0.0003,-0.432301922980696,-0.03470332893775776,0.19269216,0.2,0.33966064453125,0.11107587814331055,1.0734639785718172,1480,,
4842,1352.41,150,1228800,253,119.85,0.6620596647262573,0.0003,-0.4491536586079746,-0.03485654231844819,0.16938773,0.2,0.34874267578125,0.23293879628181458,1.4826920836349018,1490,,
4874,1345.73,151,1236992,253,119.9,0.7380857765674591,0.0003,-0.4600290684727952,-0.03350897257696488,0.18240932,0.2,0.35347900390625,0.20568856596946716,1.200800660275854,1500,,
,,,1240000,,,0.7293054759502411,0.0003,-0.4503232790855691,-0.03553992946326616,0.2026509,0.2,0.34029541015625,0.22853916883468628,1.2447500634589233,1510,1427.0,122.2
4912,1325.44,152,1245184,253,115.87,,,,,,,,,,,,
4942,1321.11,153,1253376,253,112.14,0.6681075990200043,0.0003,-0.44800720433704555,-0.03424498697204399,0.20137511,0.2,0.3451171875,0.3269619643688202,1.4019288103212602,1520,,
4974,1313.74,154,1261568,253,111.82,0.6263917088508606,0.0003,-0.45544673916883766,-0.03777637733583106,0.18093808,0.2,0.34775390625,0.4059467315673828,1.4414492058102042,1530,,
5006,1298.24,155,1269760,253,111.88,0.6421260833740234,0.0003,-0.4539617642760277,-0.033806522867598686,0.17550205,0.2,0.34501953125,0.13055790960788727,1.3924176081665791,1540,,
5037,1340.14,156,1277952,253,117.9,0.6852853894233704,0.0003,-0.4349927106872201,-0.03341819170018425,0.18168817,0.2,0.3293701171875,0.627740740776062,1.2723631412256509,1550,,
,,,1280000,,,0.730142205953598,0.0003,-0.44825893845409154,-0.034089107962427076,0.1651412,0.2,0.341064453125,0.22656647861003876,1.0895717238308862,1560,1522.8,114.6
5077,1359.39,157,1286144,253,119.91,,,,,,,,,,,,
5108,1345.66,158,1294336,253,118.2,0.7241941094398499,0.0003,-0.4583810829790309,-0.037157384569582064,0.16016075,0.2,0.3423583984375,0.21145445108413696,1.258186981815379,1570,,
5140,1375.0,159,1302528,253,119.59,0.7476285994052887,0.0003,-0.44291687635704874,-0.03568062587364693,0.17327628,0.2,0.3309814453125,0.15260450541973114,1.2093569403747098,1580,,
5171,1374.51,160,1310720,253,121.44,0.7363854348659515,0.0003,-0.42672559118364006,-0.03505247393914033,0.17007503,0.2,0.32864990234375,0.337202787399292,1.2397551496280357,1590,,
5201,1387.04,161,1318912,253,122.6,0.7326354086399078,0.0003,-0.4484354979824275,-0.034035146921814884,0.16084829,0.2,0.3427978515625,0.19834613800048828,1.469837200944312,1600,,
,,,1320000,,,0.7510344982147217,0.0003,-0.44768987272400407,-0.031979997093003476,0.24914338,0.2,0.35133056640625,0.1939263641834259,1.2296612164005638,1610,1677.4,146.8
5236,1396.99,162,1327104,253,122.7,,,,,,,,,,,,
5267,1403.06,163,1335296,253,120.83,0.6714732646942139,0.0003,-0.44950558345299213,-0.02984961118272622,0.15532522,0.2,0.34364013671875,0.3868088722229004,1.7961454330710693,1620,,
5298,1404.93,164,1343488,253,114.11,0.6202221810817719,0.0003,-0.44702310741413387,-0.023547023401624755,0.16725004,0.2,0.34671630859375,0.26175037026405334,1.6184215907589532,1630,,
5328,1399.4,165,1351680,253,113.2,0.709322065114975,0.0003,-0.4471766149625182,-0.03635212995941402,0.1726088,0.2,0.35517578125,0.18399643898010254,1.2629894264042378,1640,,
5358,1419.45,166,1359872,253,118.16,0.719635933637619,0.0003,-0.4388155351160094,-0.03737956304976251,0.19234596,0.2,0.34549560546875,0.21781112253665924,1.083023602713365,1650,,
,,,1360000,,,0.7576264292001724,0.0003,-0.4258190362947062,-0.03260603563903715,0.17118719,0.2,0.33038330078125,1.217400312423706,1.2803181291907095,1660,1459.6,147.2
5394,1457.94,167,1368064,253,120.58,,,,,,,,,,,,
5424,1436.74,168,1376256,253,117.19,0.7174249291419983,0.0003,-0.4570357273099944,-0.03938778356241528,0.18250273,0.2,0.3592529296875,0.22120428085327148,1.36694097610889,1670,,
5454,1425.74,169,1384448,253,114.83,0.6378835141658783,0.0003,-0.4538462429540232,-0.032307318710809343,0.17030422,0.2,0.34071044921875,0.5099322199821472,1.830964070034679,1680,,
5485,1404.74,170,1392640,253,113.64,0.6087191104888916,0.0003,-0.43262806318234653,-0.02736983549257275,0.18138863,0.2,0.3482666015625,0.4043799936771393,2.105926062492654,1690,,
,,,1400000,,,0.7083867788314819,0.0003,-0.43846017569303514,-0.03087631879679975,0.17765705,0.2,0.34781494140625,0.28028738498687744,1.522789914882742,1700,1488.2,151.4
5521,1363.82,171,1400832,253,110.97,,,,,,,,,,,,
5551,1389.89,172,1409024,253,119.43,0.6362922787666321,0.0003,-0.44893560190685095,-0.027976294021937066,0.16954327,0.2,0.35003662109375,0.5628729462623596,2.0743618701118978,1710,,
5582,1410.99,173,1417216,253,124.92,0.6928294599056244,0.0003,-0.4338765990221873,-0.03281216271570884,0.1745468,0.2,0.34027099609375,0.33394452929496765,1.3737636812380516,1720,,
5612,1410.36,174,1425408,253,125.94,0.7253592610359192,0.0003,-0.4371210061712191,-0.033382152005287935,0.16792208,0.2,0.3375732421875,0.07929382473230362,1.334635121235624,1730,,
5644,1415.23,175,1433600,253,126.45,0.7570686489343643,0.0003,-0.4409911815309897,-0.03218826628435636,0.1707066,0.2,0.3342529296875,0.26925650238990784,1.4978869234095327,1740,,
,,,1440000,,,0.772874504327774,0.0003,-0.41833811823744327,-0.03189487055278732,0.17558073,0.2,0.324658203125,0.16527104377746582,1.5064001516671852,1750,1392.6,89.4
5678,1415.62,176,1441792,253,126.19,,,,,,,,,,,,
5708,1414.05,177,1449984,253,122.12,0.73582923412323,0.0003,-0.4067703847773373,-0.029559170434367843,0.145199,0.2,0.31387939453125,0.5180196166038513,2.024346228991635,1760,,
5738,1416.56,178,1458176,254,119.85,0.7858590632677078,0.0003,-0.4200698843691498,-0.032694221823112456,0.1731236,0.2,0.3307373046875,0.403704971075058,1.2864509678678586,1770,,
5768,1408.44,179,1466368,254,117.54,0.781081810593605,0.0003,-0.4533560230396688,-0.03650505909899948,0.15875874,0.2,0.349609375,0.13381542265415192,1.1560933361179195,1780,,
5799,1419.12,180,1474560,254,119.2,0.7638005912303925,0.0003,-0.44470962944906206,-0.029892049103364116,0.1483788,0.2,0.331689453125,2.222011089324951,1.462833492073696,1790,,
,,,1480000,,,0.7501752078533173,0.0003,-0.45321244418155404,-0.03253799635422183,0.15693617,0.2,0.34044189453125,0.11651338636875153,1.312801407056395,1800,1503.8,132.8
5836,1403.1,181,1482752,254,119.29,,,,,,,,,,,,
5868,1391.3,182,1490944,254,116.6,0.762848898768425,0.0003,-0.4619380460353568,-0.03287721470587712,0.14635873,0.2,0.33126220703125,0.2476261407136917,1.784032723470591,1810,,
5898,1397.15,183,1499136,254,112.22,0.7050781846046448,0.0003,-0.4441815040772781,-0.031238657896756193,0.15158269,0.2,0.32742919921875,0.13947394490242004,1.763475178554654,1820,,
5929,1416.19,184,1507328,254,110.18,0.6729748547077179,0.0003,-0.47601376501843334,-0.027973980004753686,0.16478509,0.2,0.35181884765625,0.3124387860298157,1.7396251601399855,1830,,
5960,1431.94,185,1515520,254,108.2,0.6461253464221954,0.0003,-0.4613825956592336,-0.031216793115163455,0.18757594,0.2,0.350341796875,0.12770438194274902,1.6208415176253765,1840,,
,,,1520000,,,0.5708559155464172,0.0003,-0.4929911844898015,-0.03010769657048513,0.16421062,0.2,0.35184326171875,0.4366149604320526,1.979933686950244,1850,1607.4,144.6
5998,1439.88,186,1523712,254,101.97,,,,,,,,,,,,
6029,1472.57,187,1531904,254,106.21,0.6935767531394958,0.0003,-0.4805356310447678,-0.03566964459096198,0.16510409,0.2,0.351318359375,0.2675170302391052,1.3990811205352656,1860,,
6059,1425.16,188,1540096,254,101.0,0.760535791516304,0.0003,-0.48332737721502783,-0.03228666384820826,0.15642613,0.2,0.351025390625,0.187709778547287,1.318865505582653,1870,,
6090,1402.62,189,1548288,254,97.96,0.7364955842494965,0.0003,-0.5253137306543068,-0.030451480374176755,0.1463007,0.2,0.35302734375,0.35677433013916016,1.856249219388701,1880,,
6121,1366.31,190,1556480,254,95.48,0.6957339346408844,0.0003,-0.5256373571231961,-0.029563784037600273,0.15328905,0.2,0.366943359375,2.2125301361083984,2.087251071375795,1890,,
,,,1560000,,,0.7501519918441772,0.0003,-0.5308350696694106,-0.03487544537238137,0.15868616,0.2,0.3672119140625,0.26586973667144775,1.6671012872247957,1900,1505.4,115.0
6155,1328.61,191,1564672,254,90.86,,,,,,,,,,,,
6185,1345.84,192,1572864,254,93.13,0.7915150672197342,0.0003,-0.524843520228751,-0.03956638694580761,0.15859358,0.2,0.37728271484375,0.03948606550693512,1.156722856964916,1910,,
