rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
,,,960000,,,1170,-0.04363722575362772,0.8020372539758682,0.14031601,0.0003,0.2,0.3906325101852417,0.34974365234375,-0.5323853243608028,0.9229794313781895,1182.4,138.2
1165.65,3453,104.65,966656,118,279,,,,,,,,,,,,
1172.94,3480,107.12,974848,119,280,1180,-0.04564737418841105,0.8424772322177887,0.15022717,0.0003,0.2,0.0640140026807785,0.3404296875,-0.5351644199341535,0.7736775728233625,,
1134.98,3508,104.22,983040,120,280,1190,-0.0457444478495745,0.8436994403600693,0.14741048,0.0003,0.2,0.14607954025268555,0.34329833984375,-0.5179880297044293,0.7821487778390293,,
1134.61,3536,102.97,991232,121,280,1200,-0.043999280148273104,0.8478710502386093,0.14997406,0.0003,0.2,0.02547582983970642,0.33145751953125,-0.49955831945408136,0.8243585593358148,,
1145.39,3564,102.12,999424,122,280,1210,-0.04766956228922936,0.7992159277200699,0.15304647,0.0003,0.2,0.44001126289367676,0.3476806640625,-0.5127897278638557,0.9549694784800522,,
,,,1000000,,,1220,-0.04336224068247248,0.8552440106868744,0.16946062,0.0003,0.2,-0.020316623151302338,0.34521484375,-0.5178462434792891,0.6102233702957165,1167.2,112.2
1151.32,3599,104.61,1007616,123,279,,,,,,,,,,,,
1157.34,3628,103.12,1015808,124,279,1230,-0.042930912309748236,0.8776700869202614,0.15643129,0.0003,0.2,0.05244641751050949,0.329345703125,-0.49407888411078604,0.6449945620435755,,
1156.23,3660,100.17,1024000,125,279,1240,-0.0420517006481532,0.7494815289974213,0.14037308,0.0003,0.2,0.30988597869873047,0.3295654296875,-0.5068036800948903,1.3598195308586583,,
1155.74,3687,91.36,1032192,126,279,1250,-0.04479049612345989,0.7931486815214157,0.14750622,0.0003,0.2,0.17900820076465607,0.34215087890625,-0.49679698708932846,0.8835019257676322,,
,,,1040000,,,1260,-0.042515895062388155,0.7196758687496185,0.14465064,0.0003,0.2,0.11106950044631958,0.34669189453125,-0.5158226413885132,1.0896871506993193,1224.8,89.2
1156.67,3720,87.27,1040384,127,279,,,,,,,,,,,,
