time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
7007,2676872,64588,382,0.01,97.41,994.97,,,161054,0.0001,0.5875807404518127
7008,2677168,64592,382,0.01,97.26,994.22,,,161072,0.0001,0.0766202062368393
7008,2677512,64596,382,0.01,96.54,993.31,,,161094,0.0001,0.08115366101264954
7009,2677600,64600,382,0.01,96.54,993.31,,,161099,0.0001,0.32438623905181885
7009,2677884,64604,382,0.01,96.54,993.31,,,161117,0.0001,0.3651489317417145
7010,2678184,64608,382,0.01,96.13,990.2,,,161136,0.0001,0.24291111528873444
7011,2678448,64612,382,0.01,95.5,990.05,,,161152,0.0001,0.02749473601579666
7011,2678652,64616,382,0.01,95.5,990.05,,,161165,0.0001,0.07557973265647888
7012,2678840,64620,382,0.01,95.5,990.05,,,161177,0.0001,0.06656341254711151
7013,2679184,64624,382,0.01,94.81,986.41,,,161198,0.0001,0.0735996663570404
7014,2679544,64628,382,0.01,95.04,989.38,,,161221,0.0001,0.4271083474159241
7014,2679732,64632,382,0.01,95.04,989.38,,,161233,0.0001,0.3001359701156616
,2680000,,,0.01,,,1024.4,78.0,161249,0.0001,0.07856570184230804
7017,2680096,64636,381,0.01,94.42,987.26,,,161255,0.0001,0.47198033332824707
7017,2680276,64640,381,0.01,94.42,987.26,,,161267,0.0001,0.4966919422149658
7018,2680472,64644,381,0.01,94.42,987.26,,,161279,0.0001,0.18240982294082642
7018,2680704,64648,381,0.01,94.42,987.26,,,161293,0.0001,0.10756649821996689
7019,2681032,64652,381,0.01,93.69,985.29,,,161314,0.0001,0.3805503249168396
7020,2681296,64656,381,0.01,93.69,985.29,,,161330,0.0001,0.5417144894599915
7021,2681544,64660,381,0.01,93.69,985.29,,,161346,0.0001,0.2599020004272461
7022,2681900,64664,381,0.01,93.69,985.29,,,161368,0.0001,0.4190934896469116
7022,2682172,64668,381,0.01,93.85,991.37,,,161385,0.0001,0.3092891275882721
7023,2682376,64672,381,0.01,93.85,991.37,,,161398,0.0001,0.248284712433815
7023,2682532,64676,381,0.01,93.85,991.37,,,161408,0.0001,0.5835034847259521
7024,2682756,64680,381,0.01,93.08,990.63,,,161422,0.0001,0.07711319625377655
7025,2683164,64684,381,0.01,91.73,983.53,,,161447,0.0001,0.24933797121047974
7025,2683332,64688,381,0.01,92.01,988.54,,,161458,0.0001,0.11810562014579773
7026,2683532,64692,381,0.01,92.01,988.54,,,161470,0.0001,0.0659123957157135
7026,2683788,64696,381,0.01,92.45,987.69,,,161486,0.0001,0.05272269621491432
7027,2684064,64700,381,0.01,92.47,989.61,,,161503,0.0001,0.05003967508673668
7028,2684352,64704,381,0.01,92.47,989.61,,,161521,0.0001,0.44768470525741577
7029,2684560,64708,381,0.01,92.51,991.55,,,161534,0.0001,0.21918310225009918
7029,2684792,64712,381,0.01,92.33,986.71,,,161549,0.0001,1.0488049983978271
7030,2685008,64716,381,0.01,92.45,988.58,,,161562,0.0001,0.07651776820421219
7030,2685132,64720,381,0.01,91.94,982.94,,,161570,0.0001,0.29019513726234436
7030,2685260,64724,381,0.01,91.94,982.94,,,161578,0.0001,0.3869011104106903
7031,2685460,64728,381,0.01,90.15,971.58,,,161591,0.0001,0.27502843737602234
7032,2685788,64732,381,0.01,89.5,968.98,,,161611,0.0001,0.11273576319217682
7033,2686092,64736,381,0.01,89.5,968.98,,,161630,0.0001,0.07055692374706268
7033,2686252,64740,381,0.01,90.44,968.2,,,161640,0.0001,0.4073190689086914
7034,2686488,64744,381,0.01,90.68,967.67,,,161655,0.0001,0.12428810447454453
7034,2686632,64748,381,0.01,90.19,972.19,,,161664,0.0001,0.27059492468833923
7035,2687012,64752,381,0.01,89.57,968.05,,,161688,0.0001,0.2015007734298706
7036,2687404,64756,381,0.01,89.57,968.05,,,161712,0.0001,0.3070395290851593
7036,2687528,64760,381,0.01,89.74,969.85,,,161720,0.0001,0.27214428782463074
7037,2687720,64764,381,0.01,89.62,970.85,,,161732,0.0001,0.03708877041935921
7037,2688016,64768,381,0.01,89.29,971.34,,,161750,0.0001,0.0875057578086853
7038,2688280,64772,381,0.01,88.24,967.31,,,161767,0.0001,0.5427777767181396
7039,2688492,64776,381,0.01,88.0,964.01,,,161780,0.0001,0.3043208420276642
7039,2688656,64780,381,0.01,88.32,960.34,,,161790,0.0001,0.06034019589424133
7040,2689024,64784,381,0.01,88.32,960.34,,,161813,0.0001,0.18632370233535767
7041,2689288,64788,381,0.01,89.13,967.62,,,161830,0.0001,0.3120177090167999
7041,2689520,64792,381,0.01,88.76,966.76,,,161844,0.0001,0.0702936202287674
7042,2689828,64796,381,0.01,88.82,965.85,,,161864,0.0001,0.0541500523686409
7042,2689988,64800,381,0.01,88.82,965.85,,,161874,0.0001,0.08711272478103638
7043,2690300,64804,381,0.01,87.85,962.56,,,161893,0.0001,0.4252062737941742
7044,2690612,64808,381,0.01,87.56,964.97,,,161913,0.0001,0.2793522775173187
7045,2690944,64812,381,0.01,87.56,964.97,,,161933,0.0001,0.20381122827529907
7045,2691236,64816,381,0.01,87.64,968.13,,,161952,0.0001,0.07439357787370682
