time/fps,rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
671,0.01,5167232,53184,7693,488.85,40.09,,,316701,0.0001,0.013668014667928219
671,0.01,5167864,53188,7694,485.12,40.03,,,316741,0.0001,0.10292831063270569
671,0.01,5168144,53192,7695,485.12,40.03,,,316758,0.0001,0.010047435760498047
671,0.01,5168468,53196,7695,486.16,39.97,,,316779,0.0001,0.02058194763958454
671,0.01,5168944,53200,7696,486.82,40.11,,,316808,0.0001,0.014777795411646366
671,0.01,5169392,53204,7696,480.74,40.0,,,316836,0.0001,0.019736409187316895
671,0.01,5169728,53208,7697,480.74,40.0,,,316857,0.0001,0.0329103097319603
671,0.01,5169984,53212,7697,480.74,40.0,,,316873,0.0001,0.013362646102905273
671,0.01,5170436,53216,7698,480.23,40.05,,,316902,0.0001,0.012865487486124039
671,0.01,5170940,53220,7699,476.47,39.95,,,316933,0.0001,0.014910094439983368
671,0.01,5171360,53224,7699,476.47,39.95,,,316959,0.0001,0.07235018908977509
671,0.01,5171772,53228,7700,474.13,39.83,,,316985,0.0001,0.024124477058649063
671,0.01,5172608,53232,7701,474.13,39.83,,,317037,0.0001,0.03190242871642113
671,0.01,5173396,53236,7702,475.49,39.86,,,317087,0.0001,0.008083781227469444
671,0.01,5173832,53240,7703,475.49,39.86,,,317114,0.0001,0.022620029747486115
671,0.01,5174088,53244,7703,475.49,39.86,,,317130,0.0001,0.08173657953739166
671,0.01,5174528,53248,7704,472.75,39.67,,,317157,0.0001,0.015751319006085396
671,0.01,5175124,53252,7704,476.92,39.71,,,317195,0.0001,0.03231941908597946
671,0.01,5175604,53256,7705,476.92,39.71,,,317225,0.0001,0.10609937459230423
671,0.01,5175920,53260,7706,476.25,39.5,,,317244,0.0001,0.14902572333812714
671,0.01,5176376,53264,7706,477.14,39.14,,,317273,0.0001,0.017032507807016373
671,0.01,5176676,53268,7707,477.14,39.14,,,317292,0.0001,0.022177323698997498
671,0.01,5177272,53272,7708,475.2,39.03,,,317329,0.0001,0.011164064519107342
671,0.01,5177416,53276,7708,473.13,39.01,,,317338,0.0001,0.005511637311428785
671,0.01,5177856,53280,7708,472.31,38.91,,,317365,0.0001,0.041090402752161026
671,0.01,5178216,53284,7709,473.24,39.04,,,317388,0.0001,0.012489259243011475
671,0.01,5178612,53288,7710,473.24,39.04,,,317413,0.0001,0.014761915430426598
671,0.01,5179024,53292,7710,470.88,39.03,,,317438,0.0001,0.027035318315029144
671,0.01,5179452,53296,7711,468.06,38.96,,,317465,0.0001,0.09289544075727463
671,0.01,5179944,53300,7711,468.06,38.96,,,317496,0.0001,0.020720643922686577
671,0.01,5180168,53304,7712,468.06,38.96,,,317510,0.0001,0.015342931263148785
671,0.01,5180580,53308,7712,467.53,39.0,,,317536,0.0001,0.015827234834432602
671,0.01,5181228,53312,7713,468.17,39.0,,,317576,0.0001,0.018984876573085785
671,0.01,5181776,53316,7714,468.17,39.0,,,317610,0.0001,0.009261073544621468
671,0.01,5181988,53320,7714,468.17,39.0,,,317624,0.0001,0.057675182819366455
671,0.01,5182356,53324,7715,468.93,39.0,,,317647,0.0001,0.05791660025715828
671,0.01,5182924,53328,7716,468.01,39.26,,,317682,0.0001,0.06023520976305008
671,0.01,5183396,53332,7716,468.01,39.26,,,317712,0.0001,0.014321375638246536
671,0.01,5183752,53336,7717,468.01,39.26,,,317734,0.0001,0.030764104798436165
671,0.01,5184168,53340,7717,464.81,39.11,,,317760,0.0001,0.0755186527967453
671,0.01,5184632,53344,7718,464.81,39.11,,,317789,0.0001,0.028580494225025177
671,0.01,5184968,53348,7718,464.81,39.11,,,317810,0.0001,0.03881426155567169
671,0.01,5185296,53352,7719,461.79,39.63,,,317830,0.0001,0.040806856006383896
671,0.01,5186020,53356,7720,456.97,39.56,,,317876,0.0001,0.016025485470891
671,0.01,5186204,53360,7720,453.87,39.5,,,317887,0.0001,0.012952405959367752
671,0.01,5186568,53364,7721,453.87,39.5,,,317910,0.0001,0.009404690936207771
671,0.01,5186868,53368,7721,449.05,39.47,,,317929,0.0001,0.028827590867877007
671,0.01,5187452,53372,7722,448.45,39.52,,,317965,0.0001,0.011012585833668709
671,0.01,5187752,53376,7722,448.68,39.41,,,317984,0.0001,0.03032238595187664
671,0.01,5188140,53380,7723,448.68,39.41,,,318008,0.0001,0.1478579342365265
