time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,train/loss,train/learning_rate,train/n_updates
4832,36912,325,1573620,0.05,32.72,952.55,,,0.2810492515563965,0.0001,95226
4833,36916,325,1573872,0.05,32.82,955.21,,,0.06940918415784836,0.0001,95241
4833,36920,325,1574096,0.05,32.76,959.29,,,0.4814913868904114,0.0001,95255
4834,36924,325,1574268,0.05,32.8,960.77,,,0.4990170896053314,0.0001,95266
4835,36928,325,1574496,0.05,32.84,964.45,,,0.11204454302787781,0.0001,95280
4835,36932,325,1574684,0.05,32.77,962.9,,,0.10066916793584824,0.0001,95292
4836,36936,325,1574972,0.05,32.87,964.91,,,0.37049058079719543,0.0001,95310
4837,36940,325,1575160,0.05,32.87,963.89,,,0.04914642125368118,0.0001,95322
4837,36944,325,1575352,0.05,32.86,963.89,,,0.06107046455144882,0.0001,95334
4838,36948,325,1575480,0.05,32.86,963.89,,,0.07115793228149414,0.0001,95342
4838,36952,325,1575696,0.05,32.9,959.92,,,0.040524162352085114,0.0001,95355
4839,36956,325,1575896,0.05,32.89,955.42,,,0.39478176832199097,0.0001,95368
4840,36960,325,1576260,0.05,32.85,956.29,,,0.10936160385608673,0.0001,95391
4841,36964,325,1576424,0.05,32.85,956.29,,,0.15445922315120697,0.0001,95401
4841,36968,325,1576624,0.05,32.85,956.29,,,0.14161106944084167,0.0001,95413
4842,36972,325,1576920,0.05,33.0,966.02,,,0.21244075894355774,0.0001,95432
4843,36976,325,1577152,0.05,33.06,966.17,,,0.03579632192850113,0.0001,95446
4844,36980,325,1577352,0.05,33.06,966.17,,,0.052361395210027695,0.0001,95459
4844,36984,325,1577548,0.05,33.04,962.45,,,0.06478269398212433,0.0001,95471
4845,36988,325,1577828,0.05,32.93,959.8,,,0.2629649043083191,0.0001,95489
4846,36992,325,1578016,0.05,32.93,959.8,,,0.1423829048871994,0.0001,95500
4846,36996,325,1578224,0.05,32.97,956.07,,,0.5408492088317871,0.0001,95513
4847,37000,325,1578344,0.05,32.98,952.9,,,0.05373174697160721,0.0001,95521
4848,37004,325,1578604,0.05,32.98,954.17,,,0.1522713303565979,0.0001,95537
4848,37008,325,1578852,0.05,32.98,954.17,,,0.08272971212863922,0.0001,95553
