time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/policy_loss,train/explained_variance,train/learning_rate,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
3222000,161100,10325,392.19,-0.0025933131109923124,161099,6.661070801783353e-05,0.9962120354175568,0.0007,2002.22,0.21427729725837708,312,,
3224000,161200,10332,397.51,-0.05831684544682503,161199,-0.007411425467580557,0.9972229341510683,0.0007,2012.74,0.08373884111642838,312,,
3226000,161300,10338,390.14,-0.014956160448491573,161299,0.004424404818564653,0.9620541781187057,0.0007,1981.85,0.5098394155502319,312,,
3228000,161400,10344,381.27,-0.005059783812612295,161399,-0.0002903728745877743,0.9948468198999763,0.0007,1952.64,0.12648190557956696,312,,
3230000,161500,10350,389.47,-1.3927354984843987e-06,161499,4.311029044856696e-08,0.9663260467350483,0.0007,1973.92,0.6770281195640564,312,,
3232000,161600,10357,389.06,-0.008946115151047707,161599,0.0016420986503362656,0.9959359257481992,0.0007,1943.6,0.4683818519115448,312,,
3234000,161700,10363,384.83,-0.04538942873477936,161699,0.024926211684942245,0.9910563416779041,0.0007,1918.98,0.3728037476539612,312,,
3236000,161800,10369,386.58,-0.062077682465314865,161799,-0.005754492711275816,0.9971045448910445,0.0007,1925.93,0.1947597712278366,312,,
3238000,161900,10375,387.69,-0.0006340268882922828,161899,-0.0004807619552593678,0.7355789840221405,0.0007,1932.43,7.27051305770874,312,,
3240000,,,,-0.055318452417850494,161999,-0.019367944449186325,0.9452478475868702,0.0007,,0.40254855155944824,,461.0,1971.2
3240000,162000,10388,387.96,,,,,,1945.63,,311,,
3242000,162100,10394,393.74,-0.022798234596848488,162099,-0.08085193485021591,0.544960618019104,0.0007,1960.38,36.093475341796875,311,,
3244000,162200,10400,388.13,-0.0060344273224473,162199,0.0006538517191074789,0.9772815350443125,0.0007,1947.77,1.1130363941192627,311,,
3246000,162300,10406,383.97,-0.008022930473089218,162299,0.0020606976468116045,0.9897264372557402,0.0007,1920.89,0.4387880861759186,311,,
3248000,162400,10412,388.23,-0.00966369267553091,162399,-0.0011947377352043986,0.9955415558069944,0.0007,1925.05,0.3420603573322296,311,,
3250000,162500,10419,391.92,-0.0007689025951549411,162499,-7.48695265428978e-06,0.9965043382253498,0.0007,1920.25,0.14322200417518616,311,,
3252000,162600,10425,394.78,-0.07137136161327362,162599,-1.0457396507263184,0.8124796599149704,0.0007,1910.38,12.54529857635498,311,,
3254000,162700,10431,395.09,-0.04659465700387955,162699,0.02008829638361931,0.9906226536259055,0.0007,1906.54,0.23345156013965607,311,,
3256000,162800,10437,391.09,-0.0841277465224266,162799,0.060898881405591965,0.7784152328968048,0.0007,1891.46,0.6500370502471924,311,,
3258000,162900,10443,387.39,-0.008352786302566528,162899,0.0022187368012964725,0.9847218878567219,0.0007,1859.59,1.0860990285873413,311,,
3260000,163000,10450,382.55,-1.3809991514790454e-06,162999,-0.0,0.9987105192849413,0.0007,1842.96,0.040027275681495667,311,,
3262000,163100,10456,383.45,-0.03977082297205925,163099,-0.0083804065361619,0.9909838456660509,0.0007,1835.02,0.6158878207206726,311,,
3264000,163200,10462,384.04,-0.009176209568977356,163199,-0.00011531540803844109,0.964706763625145,0.0007,1834.61,0.8599984049797058,311,,
3266000,163300,10468,383.97,-0.019691498950123787,163299,-0.004179470241069794,0.9112729355692863,0.0007,1837.98,0.6121646165847778,311,,
3268000,163400,10474,385.4,-0.03565121814608574,163399,-0.010454630479216576,0.9979225213173777,0.0007,1809.31,0.11703093349933624,312,,
3270000,163500,10480,379.41,-0.03564751148223877,163499,-0.04880664497613907,0.9929403914138675,0.0007,1781.46,0.07581814378499985,312,,
3272000,163600,10486,382.1,-0.004942300729453564,163599,-0.0004344854678492993,0.9879327779635787,0.0007,1805.61,0.1416207253932953,312,,
3274000,163700,10492,387.82,-0.07686349004507065,163699,0.0015424665762111545,0.7870194613933563,0.0007,1831.49,8.982242584228516,312,,
3276000,163800,10498,386.34,-0.05156112462282181,163799,0.00863220077008009,0.9906429452821612,0.0007,1820.26,0.4151313006877899,312,,
3278000,163900,10505,382.72,-0.020835010334849358,163899,-0.00010245118755847216,0.9958181432448328,0.0007,1822.42,0.13184843957424164,312,,
3280000,,,,-0.0033201014157384634,163999,-0.0001049003258231096,0.995331893209368,0.0007,,0.10985753685235977,,432.0,2071.8
3280000,164000,10520,382.44,,,,,,1828.92,,311,,
3282000,164100,10526,379.93,-0.02848692238330841,164099,-0.0029117134399712086,0.6960358023643494,0.0007,1817.52,10.491058349609375,311,,
3284000,164200,10532,376.8,-0.001875760848633945,164199,3.567176099750213e-05,0.9952383963391185,0.0007,1804.64,0.2661415636539459,311,,
3286000,164300,10538,374.87,-0.030716989189386368,164299,-0.007439170964062214,0.9827365316450596,0.0007,1794.5,1.2253507375717163,311,,
3288000,164400,10544,377.36,-0.037077292799949646,164399,-0.04352068156003952,0.9972276000771672,0.0007,1800.45,0.15529826283454895,311,,
3290000,164500,10551,378.8,-0.02966170385479927,164499,-0.0009870633948594332,0.9926462518051267,0.0007,1812.67,0.20908664166927338,311,,
3292000,164600,10557,380.64,-0.10149071365594864,164599,-0.44304972887039185,0.7261289358139038,0.0007,1818.72,15.540750503540039,311,,
3294000,164700,10563,377.9,-0.0453065000474453,164699,0.002383592538535595,0.9949406199157238,0.0007,1812.04,0.2720489799976349,311,,
3296000,164800,10569,377.61,-0.02552429400384426,164799,-0.01579325459897518,0.9830158185213804,0.0007,1821.0,0.4548533856868744,311,,
3298000,164900,10575,371.68,-0.08183000981807709,164899,-0.3718521296977997,0.8888732939958572,0.0007,1840.42,2.94647479057312,311,,
3300000,165000,10581,369.05,-7.010449917288497e-05,164999,7.370775165327359e-06,0.9609499871730804,0.0007,1827.15,0.9794923067092896,311,,
3302000,165100,10587,362.85,-0.03154584392905235,165099,-0.014931957237422466,0.9926349660381675,0.0007,1834.46,0.2372792810201645,311,,
3304000,165200,10593,361.01,-0.037508271634578705,165199,-0.009010570123791695,0.9864890864118934,0.0007,1830.98,0.42706194519996643,311,,
3306000,165300,10599,356.77,-0.07209266722202301,165299,0.014934656210243702,-0.34632766246795654,0.0007,1838.2,2.2776381969451904,311,,
3308000,165400,10605,348.01,-0.031602777540683746,165399,-0.0003510052047204226,0.9981282316148281,0.0007,1824.3,0.1104198470711708,311,,
3310000,165500,10612,346.0,-0.006280216854065657,165499,-0.05745476111769676,0.9972876161336899,0.0007,1802.58,0.16834430396556854,311,,
3312000,165600,10618,341.81,-0.05558748170733452,165599,-0.03908349946141243,0.9665429629385471,0.0007,1792.62,0.5981044173240662,311,,
3314000,165700,10624,336.64,-0.03567834571003914,165699,-0.13428142666816711,0.9701518155634403,0.0007,1787.96,1.5542408227920532,311,,
3316000,165800,10630,339.53,-0.00016457038873340935,165799,4.045421633236401e-07,0.9970403485931456,0.0007,1779.67,0.08047457039356232,311,,
3318000,165900,10636,335.96,-0.00030178079032339156,165899,1.9021472326130606e-06,0.9956181249581277,0.0007,1748.91,0.09176001697778702,311,,
3320000,,,,-7.420106703648344e-05,165999,4.423267000674969e-06,0.9925676048733294,0.0007,,0.5647245049476624,,396.8,2027.8
3320000,166000,10649,337.52,,,,,,1758.47,,311,,
3322000,166100,10655,337.63,-0.03449059650301933,166099,0.03796963393688202,0.7212457060813904,0.0007,1755.0,0.7503228783607483,311,,
3324000,166200,10661,340.74,-0.03379102423787117,166199,0.0032829870469868183,0.9912563553079963,0.0007,1768.35,0.1774268001317978,311,,
3326000,166300,10668,341.99,-0.03516716510057449,166299,0.08530910313129425,0.34838205575942993,0.0007,1766.26,43.17923355102539,311,,
3328000,166400,10674,329.36,-0.0020911600440740585,166399,9.105183562496677e-05,0.7995152026414871,0.0007,1722.38,3.0407581329345703,311,,
3330000,166500,10680,323.83,-0.05192480608820915,166499,0.01405624020844698,0.963929757475853,0.0007,1706.7,0.31677111983299255,311,,
3332000,166600,10686,327.83,-0.01795238070189953,166599,0.004344425164163113,0.9474536664783955,0.0007,1720.55,0.5350068211555481,311,,
3334000,166700,10693,325.29,-0.00020233041141182184,166699,-4.5636123104486614e-05,0.9798984471708536,0.0007,1720.15,0.4039371609687805,311,,
3336000,166800,10699,322.66,-0.0035522833932191133,166799,-0.0004004495276603848,0.9203254133462906,0.0007,1718.78,5.697087287902832,311,,
3338000,166900,10706,306.99,-1.4945521279593125e-19,166899,-0.0,-0.00484156608581543,0.0007,1664.54,1.447757363319397,311,,
3340000,167000,10712,298.89,-2.381308590440075e-21,166999,-0.0,-2.2919399738311768,0.0007,1674.82,0.0029149712063372135,311,,
