train/explained_variance,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.3480570912361145,837,0.03282386437058449,31.87,0.0007,1.4733208417892456,718.62,295,12400,248000,-0.2192031890153885,12399,,
0.7184438407421112,844,-0.00026429627905599773,31.61,0.0007,1.3738950490951538,713.99,296,12500,250000,-0.02973451092839241,12499,,
0.27795684337615967,850,-0.4550606906414032,31.61,0.0007,6.712307929992676,714.88,296,12600,252000,-0.20521660149097443,12599,,
0.3117254376411438,856,-1.4014474153518677,32.52,0.0007,13.645041465759277,723.81,296,12700,254000,-0.09518207609653473,12699,,
0.8409857004880905,863,0.005723654758185148,33.11,0.0007,0.27510860562324524,743.54,296,12800,256000,-0.06336008757352829,12799,,
0.8513765782117844,869,-0.006484279874712229,34.05,0.0007,0.4808597266674042,760.04,296,12900,258000,-0.07304694503545761,12899,,
-0.053308963775634766,875,0.05912134796380997,34.58,0.0007,6.01824951171875,775.79,296,13000,260000,-0.13434934616088867,12999,,
0.8566627502441406,881,0.029328538104891777,35.41,0.0007,0.6479371190071106,785.34,297,13100,262000,-0.1554909646511078,13099,,
0.9801393076777458,888,0.0016661521513015032,35.36,0.0007,0.13079117238521576,789.44,297,13200,264000,-0.04833759367465973,13199,,
0.5365862250328064,894,0.02980831265449524,34.99,0.0007,3.4808349609375,797.72,297,13300,266000,-0.14343400299549103,13299,,
0.4281713366508484,901,-0.34745678305625916,35.43,0.0007,8.303244590759277,810.96,297,13400,268000,-0.12356658279895782,13399,,
0.9213159084320068,907,0.013208863325417042,37.3,0.0007,0.06309942156076431,832.8,297,13500,270000,-0.048560574650764465,13499,,
0.24209946393966675,913,-0.34011587500572205,40.47,0.0007,26.266040802001953,841.66,297,13600,272000,-0.14251023530960083,13599,,
0.9861025949940085,920,-0.03384432941675186,41.47,0.0007,0.0604480616748333,848.99,297,13700,274000,-0.15966899693012238,13699,,
0.9676398448646069,926,-0.03908292576670647,41.25,0.0007,0.28539958596229553,840.3,297,13800,276000,-0.15110497176647186,13799,,
0.2990320920944214,932,-0.09330617636442184,41.26,0.0007,15.902478218078613,839.37,297,13900,278000,-0.059232961386442184,13899,,
0.9030042961239815,,-0.0008505920995958149,,0.0007,0.20520158112049103,,,,280000,-0.04968443140387535,13999,914.4,40.2
,941,,42.52,,,850.17,297,14000,280000,,,,
0.6297154128551483,947,-0.010290549136698246,42.16,0.0007,4.2032084465026855,856.87,297,14100,282000,-0.09363633394241333,14099,,
0.19841289520263672,954,-0.8597317934036255,42.04,0.0007,7.510052680969238,862.13,297,14200,284000,-0.15017962455749512,14199,,
0.3549656271934509,960,-0.13244836032390594,41.31,0.0007,3.286086320877075,852.76,297,14300,286000,-0.11568369716405869,14299,,
0.25205570459365845,966,0.12892787158489227,41.24,0.0007,1.6156885623931885,844.46,297,14400,288000,-0.08605850487947464,14399,,
0.5539258122444153,973,0.0037182332016527653,39.89,0.0007,9.963299751281738,834.69,297,14500,290000,-0.18414568901062012,14499,,
0.8680804818868637,979,0.12219343334436417,40.09,0.0007,0.5044447779655457,835.11,298,14600,292000,-0.16324424743652344,14599,,
0.30896490812301636,985,-0.05414281412959099,40.15,0.0007,2.232428789138794,833.95,298,14700,294000,-0.0682707354426384,14699,,
0.7038634121417999,992,-0.16094762086868286,40.82,0.0007,2.460622549057007,831.58,298,14800,296000,-0.0798100158572197,14799,,
0.6827559769153595,998,0.1345110982656479,41.29,0.0007,0.6771160960197449,824.96,298,14900,298000,-0.07982059568166733,14899,,
0.7339616119861603,1005,0.12958066165447235,41.97,0.0007,1.79527747631073,813.02,298,15000,300000,-0.162644624710083,14999,,
0.942640133202076,1011,-0.07470915466547012,41.81,0.0007,0.09499795734882355,800.93,298,15100,302000,-0.09893861413002014,15099,,
0.4386676549911499,1017,0.11967410147190094,42.85,0.0007,2.3789784908294678,801.22,298,15200,304000,-0.19719688594341278,15199,,
0.9553341455757618,1023,0.012505561113357544,43.33,0.0007,0.12198507785797119,809.79,299,15300,306000,-0.10349249839782715,15299,,
0.18448489904403687,1029,0.08827927708625793,43.34,0.0007,0.6322371363639832,811.31,299,15400,308000,-0.09690260142087936,15399,,
0.8659969866275787,1035,-0.05597782880067825,43.36,0.0007,1.042188048362732,817.57,299,15500,310000,-0.13558661937713623,15499,,
0.3805510997772217,1042,-0.4252634644508362,41.25,0.0007,4.4283881187438965,819.35,299,15600,312000,-0.2665247619152069,15599,,
0.7320288419723511,1048,-0.4579690396785736,40.92,0.0007,3.6273610591888428,820.97,299,15700,314000,-0.12645553052425385,15699,,
0.2656348943710327,1054,-0.17059765756130219,40.27,0.0007,1.2326526641845703,826.8,299,15800,316000,-0.15940114855766296,15799,,
0.8036130666732788,1060,0.15201734006404877,40.09,0.0007,0.8294631838798523,832.48,299,15900,318000,-0.1066066175699234,15899,,
0.8999243453145027,,0.000875521101988852,,0.0007,0.48144084215164185,,,,320000,-0.08403491228818893,15999,725.4,35.2
,1069,,38.73,,,826.23,299,16000,320000,,,,
0.8397321552038193,1075,0.0047156922519207,39.07,0.0007,0.8898977637290955,822.49,299,16100,322000,-0.11863260716199875,16099,,
0.7543318122625351,1081,-0.00014681462198495865,38.54,0.0007,2.2863388061523438,810.29,299,16200,324000,-0.05402327701449394,16199,,
0.9254967048764229,1087,-0.10838939249515533,38.75,0.0007,0.69405198097229,804.24,299,16300,326000,-0.07347908616065979,16299,,
0.07925719022750854,1094,-0.0029308979865163565,39.52,0.0007,2.3122177124023438,797.96,299,16400,328000,-0.03713274747133255,16399,,
0.8985784500837326,1100,0.011122705414891243,40.09,0.0007,1.6023858785629272,801.68,299,16500,330000,-0.07031194120645523,16499,,
0.9132290706038475,1106,-7.003711743891472e-06,40.78,0.0007,0.5335983633995056,805.69,300,16600,332000,-0.013988621532917023,16599,,
0.7326226234436035,1112,0.06790714710950851,40.76,0.0007,2.169905424118042,809.28,300,16700,334000,-0.0685785636305809,16699,,
0.9376962184906006,1118,0.036708950996398926,40.64,0.0007,0.6273199319839478,813.06,300,16800,336000,-0.1135982871055603,16799,,
0.8729623854160309,1124,0.002085797255858779,41.15,0.0007,0.20171694457530975,812.6,300,16900,338000,-0.03661813959479332,16899,,
0.9454700574278831,1131,0.0928373783826828,41.31,0.0007,0.2289273738861084,813.03,300,17000,340000,-0.2269081175327301,16999,,
0.35702770948410034,1137,-0.2557617127895355,42.99,0.0007,2.563777208328247,806.62,300,17100,342000,-0.06430697441101074,17099,,
0.762652799487114,1143,-0.007409919984638691,44.71,0.0007,0.3534862697124481,804.67,300,17200,344000,-0.04669280722737312,17199,,
0.7358741164207458,1149,-0.4755966365337372,46.49,0.0007,4.3078083992004395,808.39,300,17300,346000,-0.06357105821371078,17299,,
0.8009444922208786,1155,0.09531515091657639,47.84,0.0007,0.6477274894714355,800.82,301,17400,348000,-0.06844431161880493,17399,,
0.34309715032577515,1162,0.037062130868434906,47.7,0.0007,9.657240867614746,791.57,301,17500,350000,-0.058872491121292114,17499,,
0.9813094865530729,1168,0.0040132636204361916,47.83,0.0007,0.08259172737598419,788.36,301,17600,352000,-0.03608720004558563,17599,,
0.6969259083271027,1174,-0.07948999106884003,47.62,0.0007,2.016228437423706,777.17,301,17700,354000,-0.16698940098285675,17699,,
0.8327236026525497,1180,0.6561305522918701,46.9,0.0007,1.1915972232818604,777.14,301,17800,356000,-0.2336747944355011,17799,,
0.9874274572357535,1187,-0.0021210163831710815,47.31,0.0007,0.17785702645778656,777.57,301,17900,358000,-0.033681731671094894,17899,,
-1.4185357093811035,,0.08832712471485138,,0.0007,3.6364479064941406,,,,360000,-0.10710930079221725,17999,924.6,43.0
,1197,,46.13,,,791.25,300,18000,360000,,,,
