time/total_timesteps,time/fps,train/n_updates,train/explained_variance,train/entropy_loss,train/policy_loss,time/iterations,rollout/ep_len_mean,train/learning_rate,train/value_loss,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
834000,280,41699,0.9840007591992617,-0.06275174021720886,0.009327809326350689,41700,1091.28,0.0007,0.017275094985961914,2968,50.96,,
836000,280,41799,0.9945719372481108,-0.029920270666480064,-0.001194822951219976,41800,1092.44,0.0007,0.11865527927875519,2976,51.33,,
838000,280,41899,-0.6583606004714966,-0.077119380235672,-0.5178855657577515,41900,1107.21,0.0007,2.599813461303711,2983,50.94,,
840000,,41999,0.9744392465800047,-0.03277453035116196,-0.00369640882126987,,,0.0007,0.2060486078262329,,,85.2,1399.8
840000,280,,,,,42000,1105.28,,,2994,51.6,,
842000,280,42099,0.8358932435512543,-0.006363315042108297,0.0011883043916895986,42100,1087.06,0.0007,0.9411714673042297,3001,52.84,,
844000,280,42199,0.9855044325813651,-0.037315864115953445,0.0033770445734262466,42200,1095.97,0.0007,0.10606198757886887,3008,53.21,,
846000,280,42299,0.9254121482372284,-0.08827254176139832,-0.010494331829249859,42300,1099.57,0.0007,0.3825625479221344,3015,53.01,,
848000,280,42399,0.9759167730808258,-0.10052329301834106,-0.02027074620127678,42400,1072.94,0.0007,0.16091908514499664,3023,53.69,,
850000,280,42499,0.9818587526679039,-0.025470469146966934,0.0013433856656774879,42500,1022.1,0.0007,0.14633400738239288,3030,53.17,,
852000,280,42599,0.9666057117283344,-0.05278152972459793,0.010213999077677727,42600,1029.65,0.0007,0.3492189347743988,3037,54.92,,
854000,280,42699,0.8937211558222771,-0.025976089760661125,0.0015831448836252093,42700,1018.51,0.0007,0.4596833884716034,3044,55.18,,
856000,280,42799,0.9852599985897541,-0.06107548996806145,-0.003467945847660303,42800,1005.22,0.0007,0.12910817563533783,3052,55.7,,
